rynek,district,price_clean,price_per_m2_clean,area_clean,rooms_clean,floor_clean
wtórny,Białołęka,950000,15781,60.2,3,0
pierwotny,Praga-Południe,1155000,14488,79.72,1,5
wtórny,Bemowo,1170000,15274,76.6,3,1
wtórny,Śródmieście,699000,25889,27.0,2,7
wtórny,Bielany,720000,17299,41.62,2,7
wtórny,Włochy,590000,13111,45.0,2,3
wtórny,Ursynów,949000,16195,58.6,2,3
wtórny,Wola,1250000,25000,50.0,3,1
wtórny,Mokotów,730000,17056,42.8,2,7
wtórny,Ochota,760790,14900,51.06,2,0
wtórny,Włochy,760790,14900,51.06,2,0
wtórny,Bielany,799000,19680,40.6,2,1
wtórny,Mokotów,842500,19078,44.16,2,0
wtórny,Ochota,849000,18733,45.32,2,3
wtórny,Białołęka,610000,15250,40.0,2,2
wtórny,Praga-Południe,779000,16229,48.0,3,6
wtórny,Żoliborz,696800,16995,41.0,2,0
wtórny,Białołęka,675000,15879,42.51,2,2
wtórny,Włochy,799865,15063,53.1,3,3
wtórny,Żoliborz,901000,16810,53.6,2,3
wtórny,Praga-Północ,585000,15395,38.0,2,10
wtórny,Włochy,739000,17595,42.0,2,3
wtórny,Mokotów,890000,15345,58.0,2,3
wtórny,Mokotów,894000,15494,57.7,3,0
wtórny,Ursynów,2698000,18316,147.3,5,2
wtórny,Ochota,3599000,29744,121.0,5,1
pierwotny,Wola,1690000,24143,70.0,4,5
wtórny,Ursus,1249990,19531,64.0,3,1
wtórny,Wola,1387000,25496,54.4,2,4
wtórny,Wola,1723000,25492,67.59,3,5
wtórny,Bielany,1200000,14440,83.1,3,5
wtórny,Mokotów,1983000,11996,165.3,5,4
wtórny,Ursynów,1400000,18407,76.06,3,4
wtórny,Mokotów,759000,21655,35.05,2,5
wtórny,Bielany,559000,20202,27.67,1,6
wtórny,Białołęka,610000,14088,43.3,2,2
wtórny,Targówek,529000,12595,42.0,3,8
wtórny,Bemowo,997000,13944,71.5,3,5
wtórny,Wola,999000,31006,32.22,2,6
wtórny,Śródmieście,699000,25889,27.0,2,7
wtórny,Ursynów,1200000,18788,63.87,3,1
wtórny,Praga-Południe,985000,14924,66.0,3,4
wtórny,Praga-Południe,670000,15990,41.9,2,4
wtórny,Wawer,820000,13703,59.84,3,1
wtórny,Praga-Północ,1290000,11217,115.0,5,9
wtórny,Wola,940000,19583,48.0,3,3
wtórny,Mokotów,1495000,21689,68.93,2,5
wtórny,Bemowo,910000,16852,54.0,2,0
wtórny,Praga-Południe,578000,21056,27.45,1,1
pierwotny,Włochy,968704,17200,56.32,3,3
